institution_id,institution_name,open_to_xclerks,country_id,med_school,xclerk_interview_required
5183,"Escola Bahiana de Medicina e Saude Publica, Brazil",All,35,Y,Y
2586,Seton Hall Univ.,No,235,N,N
5184,"Tokai Univ. School of Medicine, Japan",All,118,Y,Y
5185,"Univ. of Dammam. Faculty of Medicine, Saudi Arabia",All,196,Y,N
5186,"Shanghai Jiao Tong Univ. School of Med., China",All,51,Y,Y
5187,"Federal Univ. of Rio Grande do Sul, Brazil",All,35,Y,Y
2602,Sheldon Jackson Coll. ,No,235,N,N
5188,"Dankook Univ. School of Medicine, South Korea",All,124,Y,Y
5189,University College London,No,234,N,N
5192,Univ. of Central Florida,No,235,N,N
5199,Cerritos College,No,235,N,N
5200,"Univ. of Great Falls, MT",No,235,N,N
5202,"Umm Al Qura Univ., Faculty of Medicine, Saudi Arabia",All,196,Y,N
5210,"Univ. of Limerick, Medical School, Ireland",All,114,Y,N
2620,"Siena Coll., NY",No,235,N,N
5214,Riverside Comm. Coll.,All,235,N,N
5215,"Dokkyo Med Univ., Japan",All,118,Y,Y
5218,"Poznan Univ. of Medical Sciences, Poland",All,182,Y,Y
5226,"Univ. of Szeged, Faculty of Medicine, Hungary",All,108,Y,Y
2627,Simmons Coll. ,No,235,N,N
5236,Al Quds Univ. Medical School,All,253,Y,Y
5241,"Univ. of Medicine & Surgery, Messina, Italy",All,116,Y,Y
2630,"Simon Fraser Univ., Canada",No,44,N,N
2641,Skidmore Coll.,No,235,N,N
2645,Smith Coll. ,No,235,N,N
3507,"Univ. of Caraboba School of Medicine, Venezuela",All,241,Y,Y
5250,"Nepalgunj Med. College, Nepal",All,160,Y,Y
5274,"Univ. of Bari Faculty of Medicine, Italy",All,116,Y,Y
5282,Touro Univ. of Osteopathic Medicine - NY,US-Canadian,235,Y,Y
5321,"Yenepoya Medical College, India",All,110,Y,Y
5335,"Abia State Univ., Nigeria",All,167,Y,Y
2962,"Trinity Coll., Ct",No,235,N,N
5341,"Akdeniz Univ. School of Medicine, Turkey",All,227,Y,Y
5345,"Dubai Medical College, United Arab Emirates",All,233,Y,Y
5356,"Peking Univ. Health Science Ctr., China",All,51,Y,Y
5368,"Third Faculty of Medicine, Charles Univ., Czech Republic",All,65,Y,Y
5379,"Univ. Ovidius Constanta Fac. of Medicine, Romania",All,187,Y,Y
5397,Murray State Univ.,No,235,N,Y
5400,William Carey Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,Y
5422,"Kwame Nkrumah Univ. of Science & Tech., Ghana",No,92,N,Y
5425,"FH Netter School of Medicine, Quinnipiac Univ.",US-Canadian,235,Y,Y
5426,"Lebanese American Univ. School of Medicine, Lebanon",All,130,Y,Y
5429,Central Michigan Univ. College of Medicine,US-Canadian,235,Y,Y
2983,NULL,No,235,N,N
2984,Tufts Univ. School of Medicine ,US-Canadian,235,Y,N
5454,Seattle Pacific Univ.,No,235,N,Y
5467,Southern California Univ. of Health Sciences,No,235,N,Y
2987,Tufts Univ.,No,235,N,N
2988,Tulane Univ. School of Medicine,US-Canadian,235,Y,N
5481,Universidade Federal do Rio Grande do Norte,All,35,N,Y
2990,Tulane Univ. ,No,235,N,N
5502,"Univ. of Free State, South Africa",No,206,N,Y
5508,Wagner Coll.,No,235,N,Y
5518,King Saud University,No,196,N,Y
2995,Univ. of Alabama ,No,235,N,N
2996,Univ. of Alabama School of Medicine,US-Canadian,235,Y,N
2997,"Univ. of Alabama, Birmingham",No,235,N,N
5519,"Delft Univ., Netherlands",No,161,N,Y
5538,"Dell Medical Coll., Univ. of Texas, Austin",US-Canadian,235,Y,Y
5566,Saint Petersburg College,All,235,N,Y
3002,Univ. of Alaska,No,235,N,N
3004,Univ. of Arizona ,No,235,N,N
3005,Univ. of Arizona Col. of Medicine,US-Canadian,235,Y,N
3006,Univ. of Arkansas,No,235,N,N
3007,Univ. of Arkansas Col. of Medicine,US-Canadian,235,Y,N
3009,Univ. of Bridgeport,No,235,N,N
3011,Univ. of California,No,235,N,N
3013,"Univ. of California, Berkeley",No,235,N,N
3014,"Univ. of California, Davis",No,235,N,N
3015,"Univ. of California, Davis School of Medicine",US-Canadian,235,Y,N
3017,"Univ. of California, Irvine",No,235,N,N
3018,"Univ. of California, Irvine School of Medicine",US-Canadian,235,Y,N
3019,"Univ. of California, Los Angeles",No,235,N,N
3020,"Univ. of California, Los Angeles School of Medicine",US-Canadian,235,Y,N
3023,"Univ. of California, Riverside",No,235,N,N
3024,"Univ. of California, San Diego",No,235,N,N
3025,"Univ. of California, San Diego School of Medicine",US-Canadian,235,Y,N
3026,"Univ. of California, San Francisco",No,235,N,N
3027,"Univ. of California, San Francisco School of Medicine",US-Canadian,235,Y,N
3028,"Univ. of California, Santa Barbara",No,235,N,N
3029,"Univ. of California, Santa Cruz",No,235,N,N
3032,Univ. of Chicago ,No,235,N,N
3035,Univ. of Chicago Pritzker School of Medicine,US-Canadian,235,Y,N
3036,Univ. of Cincinnati,No,235,N,N
3037,Univ. of Cincinnati Col. of Medicine ,US-Canadian,235,Y,N
3039,Univ. of Colorado,No,235,N,N
3040,Univ. of Colorado School of Medicine ,US-Canadian,235,Y,N
3041,"Univ. of Colorado, Boulder",No,235,N,N
3044,Univ. of Connecticut ,No,235,N,N
3045,Univ. of Connecticut School of Medicine,US-Canadian,235,Y,N
3047,Univ. of Dayton,No,235,N,N
3049,Univ. of Denver,No,235,N,N
3053,Univ. of Florida ,No,235,N,N
3054,Univ. of Florida Coll. of Medicine,US-Canadian,235,Y,N
3055,Univ. of Georgia ,No,235,N,N
3057,Univ. of Hartford,No,235,N,N
3058,Univ. of Hawaii,No,235,N,N
3059,Univ. of Hawaii School of Medicine,US-Canadian,235,Y,N
3063,Univ. of Houston ,No,235,N,N
3065,Univ. of Illinois,No,235,N,N
2603,"Shenyang Medical Coll., China",All,51,Y,Y
2607,"Shiga Univ. of Medical Science, Japan",All,118,Y,Y
2609,"Shinshu Univ. School of Medicine, Japan",All,118,Y,Y
4004,Westmont Coll.,No,235,N,N
2616,"Showa Univ., Japan",No,118,N,Y
2618,"Sian Medical Coll., China",All,51,Y,Y
2619,"Sichuan Univ., China",No,51,N,Y
4006,"Wheaton Coll., IL",No,235,N,N
4007,"Wheaton Coll., MA",No,235,N,N
4012,Whittier Coll.,No,235,N,N
4014,Wichita State Univ.,No,235,N,N
2634,"Sindh Medical Coll., Pakistan",All,174,Y,Y
2639,"Sir Salimullah Medical Coll., Bangladesh",All,21,Y,Y
2642,"Slaska Medical Academy, Poland",All,182,Y,Y
2647,"SMS Medical Coll. of Jaipur, India",All,110,Y,N
2654,"Soochow Medical Coll., China",All,51,Y,Y
4028,Williams Coll.,No,235,N,N
4051,Wright State Univ. School of Medicine,US-Canadian,235,Y,N
4052,Wright State Univ. ,No,235,N,N
4054,"Xavier Univ., LA",No,235,N,N
4065,Yale Univ. School of Medicine,US-Canadian,235,Y,N
4066,Yale Univ. ,No,235,N,N
4079,Yeshiva Univ.,No,235,N,N
4092,"York Univ., Canada",No,44,N,N
5224,"Univ. of Liverpool Faculty of Medicine, United Kingdom",All,234,Y,Y
5315,Harvard School of Engineering and Applied Sciences,No,235,N,Y
5320,"Univ. of Cagliari, Faculty of Medicine, Italy",All,116,Y,Y
5545,"Universidad de Los Andes, Columbia",All,54,Y,Y
5552,"Durham Univ., United Kingdom",No,234,N,Y
2911,"Thanjavur Medical Coll., Madras U., India",All,110,Y,N
2913,"Third Military Medical Coll., China",All,51,Y,Y
2921,"Tientsin Medical Coll., China",All,51,Y,Y
2923,"Tirunelveli Medical Coll., Madurai U., India",All,110,Y,N
2925,"Toho Univ. School of Medicine, Japan",All,118,Y,Y
2928,"Tohoku Univ. School of Medicine, Japan",All,118,Y,Y
2933,"Tokyo Dental Coll., Japan",No,118,N,Y
2937,"Tokyo Medical and Dental Univ., Japan",All,118,Y,Y
2938,"Tokyo Medical Coll., Japan",No,118,N,Y
2943,"Tokyo Women's Medical Coll., Japan",All,118,Y,Y
2945,"Topiwala National Medical Col., Univ. of Mumbai, India",All,110,Y,N
2946,"Tottori Univ. School of Medicine, Japan",All,118,Y,Y
2965,"Trinity Coll., Ireland",No,114,N,N
2971,"Tsangchiang Medical Coll., China",All,51,Y,Y
2973,"Tsinghai Medical Coll., China",All,51,Y,Y
2974,"Tsingtao Medical Coll., China",All,51,Y,Y
2975,"Tsukuba Univ. School of Medicine, Japan",All,118,Y,Y
2977,"Tsunyi Medical Coll., China",All,51,Y,Y
5197,Butler Univ.,No,235,N,N
5301,"Lille Univ. School of Medicine, France",All,83,Y,Y
5442,"Univ. of Medicine 1 Yangon, Myanmar",All,157,Y,Y
5531,St. John's University,No,235,N,Y
5534,Widener Univ.,No,235,N,Y
5551,"Univ. of Jos, Nigeria",All,167,Y,Y
787,Duke Univ. School of Medicine,US-Canadian,235,Y,N
788,Duke Univ. ,No,235,N,N
795,Earlham Coll. ,No,235,N,N
796,East Carolina Univ. School of Medicine ,US-Canadian,235,Y,N
803,East Tennessee State Univ. ,No,235,N,N
804,East Tennessee State Univ. Col. of Medicine,US-Canadian,235,Y,N
813,Eastern Michigan Univ. ,No,235,N,N
820,Eastern Virginia Medical School,US-Canadian,235,Y,N
3231,"Univ. of Tehran School of Public Health, Iran",No,112,N,Y
846,Emerson Coll. ,No,235,N,N
852,Emory Univ. School of Medicine ,US-Canadian,235,Y,N
854,Emory Univ.,No,235,N,N
917,Fairfield Univ.,No,235,N,N
919,Fairleigh Dickinson Univ.,No,235,N,N
957,Ferris State Coll.,No,235,N,N
965,Fisk Univ. ,No,235,N,N
5213,"National Medical College, Nepal",All,160,Y,Y
5235,Oregon State Univ.,No,235,N,Y
5259,Keio Univ.,No,118,N,Y
5261,"National Univ. of Ireland, Galway",No,114,N,Y
5285,"Chinese Univ. of Hong Kong, China",All,51,Y,Y
5286,"Quassim Univ. Medical Coll, Saudi Arabia",All,196,Y,Y
5287,"Beirut Arab Univ., Lebanon",All,130,Y,Y
5288,"Second Univ. of Naples, Medical School, Italy",All,116,Y,Y
5289,"Second Faculty of Medicine, Charles Univ., Czech Republic",All,65,Y,Y
1596,Lehigh Univ. ,No,235,N,N
5290,"Hashemite Univ., Faculty of Medicine, Jordan",All,119,Y,Y
5313,"Vydehi Inst. of Med. Sciences, India",All,110,Y,Y
1603,Lewis and Clark Coll. ,No,235,N,N
5428,"UFR des Sciences de la Sante Simone Veil, France",All,83,Y,Y
5441,"Maastricht Univ., the Netherlands",No,161,N,Y
5503,Tokyo Univ. of Agriculture and Technology,No,118,N,Y
5520,Universidad del Valle de Mexico Faculty of Medicine,All,149,Y,Y
5528,"Univ. of Science & Technology Beijing, China",No,51,N,Y
5530,Univ. of Swaziland,No,214,N,Y
5546,Thomas Aquinas Coll.,No,235,N,Y
5560,Western Michigan Univ.,No,235,N,Y
3959,"West China Union Univ. Medical Coll., China",All,51,Y,Y
3960,West China Univ. of Medical Sciences,All,51,Y,Y
1626,"Lincoln Univ., PA",No,235,N,N
1629,Linfield Coll.,No,235,N,N
1638,Loma Linda Univ. School of Medicine,US-Canadian,235,Y,N
3977,"West Visayas State Coll. School of Med, Philippines ",All,180,Y,Y
1662,"Louisiana State Univ. School of Med, New Orleans ",US-Canadian,235,Y,N
3994,"Westfaelische Wilhelms-Universitaet, Germany",All,91,Y,N
1667,Louisiana State Univ.,No,235,N,N
1677,"Loyola Univ., Maryland",No,235,N,N
1678,Loyola Marymount Univ. ,No,235,N,N
1680,Loyola Univ. of Chicago Stritch School of Medicine ,US-Canadian,235,Y,N
1684,"Loyola Univ., Chicago",No,235,N,N
1702,Lynchburg Coll. Randolph Macon Coll.,No,235,N,N
1707,Macalester Coll.,No,235,N,N
5177,"Government Medical Coll., Patiala, India",All,110,Y,N
5198,"Mediciti Inst. of Medical Sciences, India",All,110,Y,N
5209,"Mamata Medical Coll., NTR Univ., India",All,110,Y,N
5258,College of Charleston,No,235,N,Y
5310,"Univ. National de Tucuman, Argentina",All,11,Y,Y
5427,Texas Tech Univ. Paul L. Foster School of Medicine,US-Canadian,235,Y,Y
26,Adelphi Univ.,No,235,N,N
5439,"VIT University, India",No,110,N,Y
5532,Univ. of Albany,No,235,N,Y
5553,"National Tsing Hua Univ., Taiwan",No,218,N,Y
5554,"Beijing Inst. of Technology, China",No,51,N,Y
50,Alabama State Univ.,No,235,N,N
56,Albany Medical Col. of Union U.,US-Canadian,235,Y,N
58,Albert Einstein Col. of Medicine of Yeshiva U.,US-Canadian,235,Y,N
80,Allegheny Coll. ,No,235,N,N
94,American Univ. ,No,235,N,N
98,Amherst Coll. ,No,235,N,N
104,Andrews Univ.,No,235,N,N
114,"Antioch Coll., OH",No,235,N,N
124,Arizona State Univ.,No,235,N,N
138,Assumption Coll.,No,235,N,N
148,Auburn Univ. ,No,235,N,N
149,"Auburn Univ., Montgomery",No,235,N,N
150,Augsburg Coll.,No,235,N,N
152,"Augustana Coll., IL.",No,235,N,N
178,Ball State Univ.,No,235,N,N
4837,Charles R. Drew University of Medicine and Science,US-Canadian,235,Y,N
1143,Hahnemann University School of Medicine ,US-Canadian,235,Y,N
1757,Marquette U. School of Medicine,US-Canadian,235,Y,N
1826,Medical Col. of Pennsylvania,US-Canadian,235,Y,N
1882,Middlesex U. School of Medicine,US-Canadian,235,Y,N
2230,Oral Roberts U. School of Medicine,US-Canadian,235,Y,N
3062,"U. of Health Sciences, Col. of Osteopathic Medicine",US-Canadian,235,N,N
5201,Ramapo College,No,235,N,N
5205,"Government Medical Coll., Haldwani, India",All,110,Y,N
5249,"Changzhi Medical College, China",All,51,Y,Y
5309,"Univ. de Paris XIII Nord, France",All,83,Y,Y
5387,"Univ. De Los Andes, Fac. of Medicine, Chile",All,50,Y,Y
5388,"Univ. Nova of Lisbon Fac. of Medicine, Portugal",All,183,Y,Y
5447,Quinnipiac Univ.,No,235,N,Y
5506,Western University of Health Sciences,All,235,Y,Y
5535,Eckerd College,No,235,N,Y
5543,Univ. of Philippines,No,180,N,Y
5544,Univ. of Philippines,No,180,N,Y
2598,"Shantung Medical Coll., China",All,51,Y,Y
5305,"Universidad de Cordoba, Spain",All,207,Y,Y
2148,Northern Michigan Univ.,No,235,N,N
5307,"Centro de Estudios Univ. Xochicalco, Mexico",All,149,Y,Y
5326,Middle Tennessee State Univ.,No,235,N,Y
5327,Boston Conservatory,No,235,N,Y
5328,Elon Univ.,No,235,N,Y
5329,Hofstra Univ.,No,235,N,Y
5330,"Liverpool John Moores Univ., United Kingdom",No,234,N,Y
5331,"Univ. of Sana'a, Fac. of Medicine, Yemen",All,248,Y,Y
5332,Islamic Azad Univ.,All,112,Y,Y
5333,"K.S. Hegde Med. Academy, India",All,110,Y,Y
5334,"Sri Siddhartha Med. Coll, India",All,110,Y,Y
5383,"Pamukkale Univ. School of Medicine, Turkey",All,227,Y,Y
5393,"Univ. of Health Sciences, Laos",All,128,Y,Y
5394,"Kazakh National Medical Univ., Kazakhstan",All,120,Y,Y
5395,"Univ. Regional de Blumenau, Fac. of Medicine, Brazil",All,35,Y,Y
5396,"Bankura Sammilani Medical Coll., India",All,110,Y,Y
5431,Tufts Univ. School of Dental Medicine,No,235,N,Y
5444,Hillsdale College,No,235,N,Y
2168,Northwestern Univ. Medical School,US-Canadian,235,Y,N
2169,Northwestern Univ. ,No,235,N,N
5533,Gian Sagar Dental College,No,110,N,Y
5559,"K.M. Shah Dental College, India",No,110,N,Y
2172,Norwich Univ.,No,235,N,N
2178,Nova Univ. ,No,235,N,N
2183,Oakwood Univ.,No,235,N,N
2184,Oberlin Coll. ,No,235,N,N
2186,Occidental Coll.,No,235,N,N
2188,Oglethorpe Univ.,No,235,N,N
2193,Ohio State Univ. Col. of Medicine,US-Canadian,235,Y,N
2203,Ohio State Univ.,No,235,N,N
2214,Ohio Wesleyan Univ.,No,235,N,N
2235,Oregon Health & Science Univ. School of Medicine,US-Canadian,235,Y,N
2262,Pace Univ. ,No,235,N,N
5161,"Government Medical Coll., Chandigarh, India",All,110,Y,N
5179,Dowling Coll.,No,235,N,N
5180,"Jimma Univ., School of Medicine, Ethiopia",All,77,Y,Y
5181,"Umea Univ., Sweden",No,215,N,Y
5206,"Gandhi Medical Coll. Secunderabad, India",All,110,Y,N
5207,"Gandhi Medical Coll., Secunderabad, India",All,110,Y,N
5227,Gwynedd-Mercy Coll.,No,235,N,Y
5237,Geisinger Commonwealth Medical School. PA,US-Canadian,235,Y,Y
4809,Harvard Univ. Division of Continuing Education,No,235,N,N
14,"Academy of Chinese Traditional Medicine, China ",All,51,Y,Y
24,"Addis Ababa Univ., Ethiopia",All,77,Y,Y
4861,New Jersey Coll. of Medicine and Dentistry,No,235,N,N
29,"Aga Khan Univ. Medical Coll., Pakistan",All,174,Y,Y
4898,Univ. of New England Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
40,"Ain Shams Univ. Faculty of Medicine, Egypt",All,72,Y,N
44,"Akita Univ. School of Medicine, Japan",All,118,Y,Y
46,"Al-Azhar Univ. Faculty of Medicine, Egypt",All,72,Y,N
4943,A.T. Still Univ. Coll. of Osteopathic Medicine - MO,US-Canadian,235,Y,N
4944,Drexel Univ. Coll. of Medicine,US-Canadian,235,Y,N
4945,Edward Via Coll. of Osteopathic Medicine - VA,US-Canadian,235,Y,N
4946,Florida State Univ. Coll. of Medicine,US-Canadian,235,Y,N
4947,Kansas City Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
4948,Lake Erie Coll. of Osteopathic Medicine - PA,US-Canadian,235,Y,N
4949,Lincoln Memorial Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
4950,"Louisiana State Univ. School of Med, Shreveport",US-Canadian,235,Y,N
4951,Mercer Univ. School of Medicine,US-Canadian,235,Y,N
59,"Albert-Ludwig-Universitat Medical Facility, Germany",All,91,Y,N
4952,Michigan State Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
4953,"Northern Ontario School of Medicine, Canada",US-Canadian,44,Y,N
4954,Ohio Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
4955,Oklahoma State Univ. Coll. of Osteopathic Medicine,US-Canadian,235,Y,N
72,"Alexandria Univ. Medical School, Egypt",All,72,Y,N
73,"Alexandria Univ., Egypt",No,72,N,N
77,"All India Institute of Medical Sciences, India",All,110,Y,N
5137,"C.S.M. Medical University, Lucknow, India",All,110,Y,N
5143,"Universidad Industrial de Santander, Colombia",All,54,Y,Y
5239,"Univ. of Central Florida, Coll. of Medicine",US-Canadian,235,Y,Y
5263,El Camino College,No,235,N,Y
3866,Utah State Univ.,No,235,N,N
5264,"Univ. Autonoma de Bucaramanga, Colombia",All,54,Y,Y
5265,"SBKS Medical College, Gujarat Univ., India",All,110,Y,Y
5267,"North Bengal Medical College, India",All,110,Y,Y
1974,"Surat Municipal Inst. of Med., Gujarat, India",All,110,Y,N
3874,Vanderbilt Univ. School of Medicine,US-Canadian,235,Y,N
3875,Vanderbilt Univ.,No,235,N,N
1979,"Mymensingh Medical Coll., Bangladesh",All,21,Y,Y
1980,"Mysore Medical Coll., Mysore U., India",All,110,Y,N
1981,"Nagasaki Univ. School of Medicine, Japan",All,118,Y,Y
1983,"Nagoyga Univ. School of Medicine, Japan",All,118,Y,Y
1984,"Nagoya Univ., Japan",No,118,N,Y
1986,"Nangrahar Univ., Afghanistan",All,2,Y,Y
1990,"Nanking Railway Medical Coll., China",All,51,Y,Y
1992,"Nantung Medical Coll., China",All,51,Y,Y
3878,Vassar Coll.,No,235,N,N
2001,National Autonomous Univ. of Mexico Faculty of Medicine,All,149,Y,Y
2003,"National Central Univ. Medical School, China",All,51,Y,Y
2013,"National Defense Medical Coll., Saitama, Japan",All,118,Y,Y
2014,"National Defense Medical Coll., Taiwan",All,218,Y,Y
2015,"National Defense Medical Ctr., Dental School, Taiwan",No,218,N,Y
2021,"National Kwei-Yang Medical Coll., China",All,51,Y,Y
2026,National Taiwan Univ. Coll. of Medicine,All,218,Y,Y
2028,"National Taiwan Univ., Taiwan",No,218,N,Y
2030,"National Univ. of Ireland, Univ. College Cork, Ireland",All,114,Y,N
2031,"National Univ. of Ireland Faculty of Medicine, Dublin",All,114,Y,N
2032,"National Univ. of Ireland Faculty of Medicine, Galway",All,114,Y,N
2033,"National Univ. Schl of Medicine, Asuncion, Paraguay",All,178,Y,Y
2034,"National Univ. of Athens, Greece",No,94,N,Y
2036,National Univ. of Colombia,All,54,Y,Y
2037,National Univ. of Iran ,No,112,N,Y
2039,National Univ. of Iran School of Medicine,All,112,Y,Y
2042,National Univ. of Mexico ,No,149,N,Y
2043,National Univ. of Mexico School of Medicine,All,149,Y,Y
2044,"National Univ. of Rwanda, Faculty of Medicine",All,189,Y,Y
5149,"NKP Salve Inst. of Medical Sciences, India",All,110,Y,N
5163,"Univ. of Magna Gracia, Medical School, Italy",All,116,Y,Y
5172,Western Michigan Univ. Homer Stryker MD School of Medicine,US-Canadian,235,Y,N
3217,Univ. of South Dakota School of Medicine ,US-Canadian,235,Y,N
3218,Univ. of South Florida ,No,235,N,N
3219,Univ. of South Florida Coll. of Medicine,US-Canadian,235,Y,N
3220,Univ. of Southern California ,No,235,N,N
3222,Univ. of Southern California School of Medicine,US-Canadian,235,Y,N
3223,"Univ. of Southern California, Los Angeles",No,235,N,N
3225,Univ. of Southern Maine,No,235,N,N
3228,Univ. of St. Thomas,No,235,N,N
3232,Univ. of Tennessee ,No,235,N,N
3233,Univ. of Tennessee Health Science Ctr. School of Medicine,US-Canadian,235,Y,N
3241,Univ. of Texas,No,235,N,N
3244,Univ. of Texas Medical Branch At Galveston ,US-Canadian,235,Y,N
3245,Univ. of Texas Medical School At Houston ,US-Canadian,235,Y,N
3246,Univ. of Texas Medical School At San Antonio,US-Canadian,235,Y,N
3248,Univ. of Texas Southwestern Medical School ,US-Canadian,235,Y,N
2176,"Notre Dame Univ. De LA Paix, Belgium",All,25,Y,Y
3250,"Univ. of Texas, Austin",No,235,N,N
3251,"Univ. of Texas, Dallas",No,235,N,N
3252,"Univ. of Texas, El Paso",No,235,N,N
3254,"Univ. of Texas, San Antonio",No,235,N,N
3256,Univ. of the Pacific ,No,235,N,N
3257,Univ. of the South ,No,235,N,N
3259,Univ. of Tulsa,No,235,N,N
3261,Univ. of Utah,No,235,N,N
3262,Univ. of Utah Col. of Medicine ,US-Canadian,235,Y,N
3263,Univ. of Vermont,No,235,N,N
3264,Univ. of Vermont Col. of Medicine,US-Canadian,235,Y,N
3265,Univ. of Virginia,No,235,N,N
3266,Univ. of Virginia School of Medicine ,US-Canadian,235,Y,N
3269,Univ. of Washington School of Medicine ,US-Canadian,235,Y,N
3270,"Univ. of Washington, Seattle",No,235,N,N
3272,Univ. of Wisconsin ,No,235,N,N
3273,Univ. of Wisconsin Medical School,US-Canadian,235,Y,N
3278,"Univ. of Wisconsin, Madison",No,235,N,N
3282,"Univ. of Wisconsin, Milwaukee",No,235,N,N
2215,"Okayama Univ. Medical School, Japan",All,118,Y,Y
3295,U.S. Air Force Academy,No,235,N,N
3296,U.S. Coast Guard Academy,No,235,N,N
3298,U.S. Merchant Marine Academy,No,235,N,N
3299,"U.S. Military Academy, West Point",No,235,N,N
5141,"DR Vaishampayan Memorial Med College, India",All,110,Y,N
3993,Western Washington Univ. ,No,235,N,N
5147,"NHL Municipal Med Coll., Gujarat Univ., India",All,110,Y,N
5153,"Far Eastern Univ. NRM Inst. of Med, Philippines",All,180,Y,Y
5234,"Univ. of Burundi, Faculty of Medicine, Burundi",All,41,Y,Y
5247,"Shri Vasantrao Naik Gov. Medical College, India",All,110,Y,Y
5248,"Fundacion Univ. Ciencias De La Salud de San Jose, Colombia",All,54,Y,Y
5303,"Taibah Univ. Coll. of Medicine, Saudi Arabia",All,196,Y,Y
5304,"Universidade Federal de Alagoas, Brazil",All,35,Y,Y
5359,"Univ. Complutense de Madrid, Fac. of Medicine, Spain",All,207,Y,Y
5360,"Alluri Sitarama Raju Acad Med Sciences, India",All,110,Y,Y
5366,"Karaganda State Medical Univ., Kazakhstan",All,120,Y,Y
5367,"Univ. Central de Venezuela, Luis Razetti, Venezuela",All,241,Y,Y
2340,"Perm Medical Institute, Russia",All,188,Y,Y
5402,Rocky Vista Univ. Coll of Osteopathic Medicine,US-Canadian,235,Y,Y
5415,"Univ. of Basel, Switzerland",No,216,N,Y
2343,"Petrograd Medical Institute, Russia ",All,188,Y,Y
5416,"Astana Medical Univ., Kazakhstan",All,120,Y,Y
